176.38 91.51 88.51 168.33 166.69 80.83 1 
175.48 90.62 89.40 165.83 168.51 80.65 1 
175.01 89.57 90.44 164.09 169.12 79.62 1 
174.94 89.48 90.54 162.72 168.87 79.82 1 
173.86 89.04 90.97 159.01 169.47 79.73 1 
173.25 88.78 91.23 158.62 170.34 79.59 1 
173.70 88.41 91.60 158.01 170.19 79.97 1 
173.71 88.59 91.42 157.89 169.90 80.35 1 
174.23 88.32 91.69 157.61 169.90 80.50 1 
173.62 87.75 92.26 157.08 169.98 79.98 1 
178.95 89.29 90.72 156.73 169.71 84.14 1 
178.44 88.99 91.02 156.53 169.43 85.13 1 
173.81 89.26 90.75 157.07 169.84 83.83 1 
173.21 89.04 90.97 157.58 169.98 83.49 1 
178.21 88.67 91.34 158.05 170.17 84.81 1 
178.01 88.85 91.17 158.77 170.23 87.68 1 
178.27 88.98 91.03 158.96 170.07 85.33 1 
175.56 89.17 90.84 160.53 170.47 84.22 1 
175.96 87.17 92.85 160.83 172.34 84.81 1 
175.58 88.09 91.92 160.83 171.73 83.68 1 
176.36 88.76 91.26 161.06 171.79 86.80 1 
178.63 88.84 91.17 161.35 171.49 85.81 1 
179.52 89.57 90.44 161.72 171.48 85.02 1 
178.49 90.94 89.07 162.70 171.16 85.42 1 
177.92 91.10 88.91 163.36 170.51 87.42 1 
178.76 90.99 89.03 163.80 170.30 87.70 1 
176.80 90.33 89.68 163.97 170.27 85.77 1 
175.54 90.05 89.97 164.05 170.13 83.85 1 
175.58 90.12 89.89 164.51 169.91 83.48 1 
176.05 91.00 89.01 165.37 169.78 84.19 1 
176.30 91.23 88.79 165.60 169.46 84.67 1 
178.13 91.30 88.71 165.65 170.03 86.79 1 
178.31 91.08 88.93 164.92 170.26 85.55 1 
177.46 90.90 89.12 164.39 170.01 85.98 1 
176.65 89.96 90.06 163.39 170.20 84.59 1 
175.24 89.23 90.78 163.72 170.40 87.62 1 
174.38 88.96 91.05 163.87 170.08 86.06 1 
173.20 88.54 91.48 163.98 169.27 86.51 1 
171.76 88.25 91.76 164.21 167.79 86.00 1 
173.33 90.26 89.75 165.85 162.17 85.04 1 
175.75 90.97 89.05 167.22 159.21 85.53 1 
177.72 92.18 87.83 167.41 154.35 88.12 1 
177.88 91.86 88.15 166.84 156.33 85.74 1 
177.86 92.07 87.94 167.02 159.44 85.36 1 
177.53 92.42 87.59 166.85 161.54 85.13 1 
177.32 92.57 87.44 165.86 164.18 85.56 1 
177.01 92.90 87.11 165.14 162.65 84.57 1 
176.16 93.43 86.59 166.21 162.36 84.71 1 
174.89 93.93 86.08 166.34 162.19 86.07 1 
175.09 93.91 86.11 165.92 161.58 86.75 1 
175.64 93.40 86.61 165.58 166.02 88.06 1 
175.56 93.37 86.64 165.88 166.51 85.34 1 
175.55 93.27 86.74 166.14 167.06 86.07 1 
174.49 93.95 86.06 166.59 167.36 84.38 1 
174.97 93.97 86.05 166.91 166.33 85.65 1 
174.66 94.23 85.78 166.06 165.66 83.93 1 
174.36 94.24 85.78 165.88 165.23 83.64 1 
174.63 93.73 86.29 165.84 128.95 86.12 1 
173.14 93.89 86.12 165.43 130.76 85.01 1 
173.05 93.54 86.48 165.29 132.98 85.12 1 
171.79 94.06 85.95 165.61 137.63 82.99 1 
171.67 94.09 85.92 166.00 161.74 82.95 1 
171.13 94.38 85.64 166.39 161.79 83.66 1 
171.59 94.02 85.99 165.77 161.74 82.81 1 
171.96 93.95 86.06 165.10 161.71 83.53 1 
172.11 93.82 86.19 164.57 161.95 84.50 1 
171.88 93.67 86.35 164.42 163.15 84.06 1 
174.31 92.23 87.78 164.08 164.04 84.68 1 
177.12 91.67 88.34 164.74 168.89 86.86 1 
177.92 91.76 88.25 164.71 166.72 87.02 1 
177.30 91.58 88.43 164.51 167.26 85.03 1 
176.71 91.43 88.58 164.36 169.10 85.58 1 
176.97 91.68 88.33 166.05 168.55 84.36 1 
177.49 91.47 88.54 165.21 168.72 86.34 1 
176.89 91.17 88.85 164.93 168.43 85.99 1 
172.76 90.64 89.38 164.86 167.91 83.50 1 
172.35 90.21 89.80 164.74 167.77 82.19 1 
173.57 90.21 89.80 164.74 167.80 83.63 1 
174.30 90.54 89.47 165.11 168.01 82.79 1 
173.63 90.64 89.38 165.40 167.98 83.94 1 
173.93 90.79 89.23 165.90 168.06 83.06 1 
173.77 90.84 89.17 166.18 168.11 83.81 1 
173.91 90.94 89.07 166.31 168.20 82.59 1 
177.41 92.20 87.81 166.42 167.94 84.48 1 
175.55 91.89 88.12 166.58 167.79 83.80 1 
174.16 91.60 88.41 166.69 167.97 84.15 1 
173.93 91.36 88.65 166.94 168.30 84.30 1 
173.72 91.32 88.70 167.23 168.54 82.08 1 
173.60 91.17 88.84 164.52 168.51 82.75 1 
173.53 91.10 88.91 163.04 168.27 83.17 1 
173.80 91.18 88.83 163.76 168.32 83.51 1 
170.03 90.98 89.03 162.53 167.70 81.10 1 
172.25 91.25 88.76 163.91 167.95 81.83 1 
172.61 91.06 88.95 164.73 168.02 82.15 1 
172.81 91.03 88.99 165.25 167.90 82.97 1 
172.79 91.07 88.94 165.71 167.72 82.82 1 
172.25 90.95 89.07 165.99 167.61 81.75 1 
171.87 91.04 88.98 166.12 167.58 81.57 1 
171.58 90.93 89.08 166.00 166.91 81.74 1 
170.29 90.67 89.35 165.54 164.51 81.04 1 
169.87 90.61 89.40 165.41 164.99 80.49 1 
169.16 90.27 89.75 165.42 164.87 81.00 1 
169.05 90.32 89.70 165.29 164.90 79.84 1 
168.92 90.52 89.50 165.35 165.01 80.76 1 
171.44 91.44 88.57 165.11 165.20 81.94 1 
171.19 91.17 88.85 164.84 165.46 82.58 1 
171.63 91.07 88.94 164.61 165.79 83.14 1 
172.47 91.37 88.65 164.56 165.83 82.48 1 
172.91 91.30 88.71 164.46 166.00 83.87 1 
173.75 91.33 88.68 164.77 166.21 83.68 1 
175.82 91.67 88.35 164.87 166.52 86.44 1 
177.37 92.09 87.92 165.43 166.72 85.02 1 
178.01 91.79 88.22 165.84 166.90 84.93 1 
177.58 91.63 88.38 166.45 166.96 85.79 1 
177.68 91.61 88.40 167.15 166.58 85.83 1 
176.93 91.39 88.62 166.19 165.87 84.80 1 
176.61 91.78 88.23 167.28 165.77 84.59 1 
176.57 91.91 88.11 167.77 165.68 86.11 1 
176.12 91.63 88.38 167.35 165.20 86.53 1 
176.22 91.68 88.33 167.79 165.29 85.20 1 
176.24 91.85 88.16 167.90 165.47 85.09 1 
176.03 92.15 87.87 168.05 165.62 84.27 1 
175.76 92.36 87.66 168.07 165.60 84.71 1 
175.69 92.59 87.43 167.91 165.54 86.16 1 
175.58 92.58 87.44 167.54 165.62 85.03 1 
175.41 92.44 87.57 167.60 165.97 84.46 1 
175.35 92.28 87.73 167.52 166.16 86.64 1 
175.64 92.11 87.90 167.45 166.37 85.63 1 
175.67 92.04 87.97 167.29 166.33 87.01 1 
175.22 92.04 87.98 167.19 166.29 84.37 1 
175.29 92.16 87.86 167.01 166.40 85.47 1 
174.82 92.07 87.94 167.08 166.27 84.62 1 
174.00 92.08 87.94 167.22 166.33 84.49 1 
173.61 92.14 87.88 167.38 166.23 84.24 1 
173.43 91.88 88.14 167.48 166.51 83.53 1 
173.11 91.74 88.27 167.75 166.52 84.24 1 
172.38 91.66 88.35 168.18 166.49 82.98 1 
172.32 91.76 88.26 168.45 166.78 84.01 1 
171.22 91.79 88.22 168.72 166.76 83.29 1 
170.55 91.82 88.20 168.86 166.87 81.23 1 
171.23 91.84 88.17 168.86 166.93 81.68 1 
176.53 92.68 87.33 168.64 167.21 85.97 1 
174.81 91.94 88.08 168.12 167.48 83.70 1 
173.96 91.65 88.36 167.18 167.58 83.03 1 
173.49 91.62 88.40 166.29 167.61 82.95 1 
