173.32,95.05,84.97,167.72,164.64,116.86,121.58,79.42,1
174.41,93.86,86.15,166.43,168.21,116.47,121.66,79.75,1
176.85,92.75,87.26,165.64,171.59,120.98,123.13,79.6,1
175.96,92.7,87.31,168.9,171.95,122.75,122.94,79.35,1
173.19,92.08,87.94,169.2,168.36,126.29,129.37,78.06,1
173.64,92.84,87.17,169.21,168.54,128.65,137.96,78.75,1
173.26,93.24,86.77,169.38,166.42,130.22,137.28,78.13,1
170.76,94.63,85.38,170.4,165.17,132.07,140.23,77.18,1
171.01,95.14,84.88,169.6,166.02,135.75,139.16,77.15,1
171.59,95.24,84.78,169.55,169.57,134.56,141.64,77.07,1
172.98,95.2,84.81,159.67,166.63,136.84,140.49,77.18,1
175.71,94.19,85.82,158.83,168.46,131.47,146.74,77.53,1
172.86,94.67,85.34,175.94,171.08,127.48,150.38,77.24,1
170.29,94.86,85.15,178.52,172.72,130.21,148.59,77.01,1
173.5,94.88,85.13,177.04,172.5,127.98,150.26,80.6,1
179.06,90.83,89.18,168.45,171.42,126.09,151.17,82.46,1
176.94,92.92,87.1,163.7,170.21,129.17,146.58,82.8,1
176.58,92.87,87.14,154.75,169.8,129.45,145.8,84.36,1
175.94,94.07,85.94,147.4,167.33,127.79,145.25,84.42,1
173.48,95.94,84.07,140.15,167.19,124.38,146.96,83.11,1
172.44,96.52,83.49,133.73,167.38,125.42,147.64,82.4,1
172.89,96.9,83.11,141.36,167.44,126.74,144.11,82.29,1
174.45,95.42,84.6,153.45,167.74,129.42,142.26,82.53,1
174.72,95.3,84.71,157.27,168.72,128.56,142.46,82.75,1
174.77,95.06,84.95,162.05,168.83,128.38,143.03,83.22,1
174.47,95.36,84.65,166.5,167.92,127.49,144.41,82.41,1
174.82,95.2,84.81,172.25,166.43,129.78,142.71,83.33,1
173.6,96.36,83.65,176.62,159.84,132.7,139.92,83.98,1
173.3,96.72,83.29,175.75,158.29,131.59,140.93,82.01,1
174.06,95.65,84.36,175.11,161.39,129.63,143.4,83.42,1
174.57,94.76,85.25,175.24,160.4,128.27,145.05,82.36,1
174.56,95.07,84.95,176.35,159.93,126.29,146.41,82.42,1
175.24,94.7,85.31,169.35,159.87,126.42,146.24,83.69,1
176.05,93.91,86.1,167.62,160.27,124.73,147.02,83.17,1
177.33,92.52,87.49,169.77,160.49,123.35,147.84,84.53,1
177.35,92.59,87.42,163.89,160.81,121.91,150.75,83.24,1
179.28,90.54,89.47,157.93,163.7,124.5,151.37,84.52,1
176.5,89.09,90.93,156.61,165.52,125.34,150,84.48,1
175.63,90.43,89.58,164.94,169.62,135.37,148.03,83.61,1
176.62,91.22,88.8,170.04,171.6,139.65,145.35,82.46,1
177.11,90.99,89.02,172,169.68,141.96,141.96,83.08,1
178.72,90.85,89.16,168.51,172.02,135.7,144.85,82.11,1
177.56,91.66,88.36,164.17,167.83,135.5,143.2,82.05,1
176.49,90.03,89.98,151.27,167.45,133.29,144.5,82.73,1
175.9,87.17,92.84,153.78,170.48,131.97,145.98,85.03,1
176.94,87.96,92.06,157.56,171.69,131.38,147.03,83.85,1
177.8,88.7,91.31,159.71,170.52,131.33,147.17,85.35,1
176.32,88.46,91.55,160.91,168.34,132.63,148.36,83.91,1
177.19,88.56,91.46,161.43,170.97,127.46,150.27,84.3,1
177.64,88.48,91.53,157.28,171.56,124.46,152.09,85.19,1
176.64,88.05,91.96,157.75,170.84,124.85,149.8,85.59,1
177.27,88.2,91.81,162.23,169.37,122.83,146.6,84.56,1
177.14,88.48,91.53,162.4,167.01,121.6,144.93,84.91,1
175.68,88.32,91.69,163.9,165.82,122.13,144.66,85.92,1
175.55,88.65,91.36,165.13,162.95,121.36,143.58,84.79,1
175.03,88.95,91.06,166.24,162.46,121.69,142.77,84.69,1
176.72,88.66,91.36,168.08,164.27,120.76,142.94,84.62,1
178.03,89.47,90.54,167.04,164.37,122.84,139.52,86.21,1
177.28,89.7,90.31,167.18,165.43,130.51,138.25,85.15,1
177.57,89.64,90.38,167.33,168.47,132.72,139.7,85.11,1
177.64,89.88,90.14,167.56,169.63,129.89,141.8,84.26,1
177.54,90.01,90.01,165.88,170.24,129.22,141.09,85.33,1
177.52,89.4,90.61,162.85,170.08,128.39,137.66,85.97,1
177.79,89.58,90.44,163.8,171.06,123.46,137.36,85.87,1
177.8,90.03,89.99,165.18,172.53,118.98,145.35,86.02,1
177.72,90.31,89.71,167.2,173.53,118.13,143.96,86.1,1
177.09,90.44,89.57,167.86,169.55,117.45,132.68,86.24,1
177.21,90.72,89.3,168.02,167.36,116.48,136.37,85.51,1
178.4,90.33,89.68,168.16,172.6,115.04,140.09,84.12,1
177.6,90.69,89.33,169.01,169.82,115.54,134.8,85.59,1
177.94,90.92,89.1,168.85,170.94,115.43,130.77,84.01,1
178.15,91.54,88.48,167.92,167.79,116.8,127.53,85.38,1
