177.64	88.48	91.53	157.28	171.56	124.46	152.09	85.19
176.64	88.05	91.96	157.75	170.84	124.85	149.80	85.59
177.27	88.20	91.81	162.23	169.37	122.83	146.60	84.56
177.14	88.48	91.53	162.40	167.01	121.60	144.93	84.91
175.68	88.32	91.69	163.90	165.82	122.13	144.66	85.92
175.55	88.65	91.36	165.13	162.95	121.36	143.58	84.79
175.03	88.95	91.06	166.24	162.46	121.69	142.77	84.69
176.72	88.66	91.36	168.08	164.27	120.76	142.94	84.62
178.03	89.47	90.54	167.04	164.37	122.84	139.52	86.21
177.28	89.70	90.31	167.18	165.43	130.51	138.25	85.15
177.57	89.64	90.38	167.33	168.47	132.72	139.70	85.11
177.64	89.88	90.14	167.56	169.63	129.89	141.80	84.26
177.54	90.01	90.01	165.88	170.24	129.22	141.09	85.33
177.52	89.40	90.61	162.85	170.08	128.39	137.66	85.97
177.79	89.58	90.44	163.80	171.06	123.46	137.36	85.87
177.80	90.03	89.99	165.18	172.53	118.98	145.35	86.02
177.72	90.31	89.71	167.20	173.53	118.13	143.96	86.10
177.09	90.44	89.57	167.86	169.55	117.45	132.68	86.24
177.21	90.72	89.30	168.02	167.36	116.48	136.37	85.51
178.40	90.33	89.68	168.16	172.60	115.04	140.09	84.12
177.60	90.69	89.33	169.01	169.82	115.54	134.80	85.59
177.94	90.92	89.10	168.85	170.94	115.43	130.77	84.01
178.15	91.54	88.48	167.92	167.79	116.80	127.53	85.38
178.40	90.93	89.08	167.44	168.48	118.34	128.81	84.81
177.91	90.64	89.37	168.38	169.20	117.61	127.55	84.03
178.51	90.67	89.34	168.35	169.55	116.03	126.26	85.85
178.61	91.04	88.97	168.87	169.63	115.74	125.17	85.94
178.45	91.52	88.49	169.83	169.76	114.44	124.42	84.15
176.50	93.26	86.75	174.03	164.76	120.11	121.66	87.46
176.40	93.46	86.55	176.11	163.17	121.46	121.89	85.03
176.39	93.63	86.39	177.03	162.95	119.79	123.51	87.06
171.99	90.99	89.03	173.25	166.11	114.89	128.36	87.94
172.98	90.70	89.31	179.69	167.97	113.23	129.34	85.14
173.93	91.31	88.70	177.52	167.63	114.10	132.60	85.64
175.53	91.75	88.26	172.47	167.74	115.52	134.19	85.58
176.31	92.14	87.87	169.80	167.92	116.36	132.22	85.56
176.76	90.34	89.67	169.47	172.13	117.66	129.16	84.90
178.30	91.72	88.30	168.00	160.04	121.15	126.66	86.47
179.76	90.11	89.90	168.16	157.46	119.82	125.70	88.65
176.83	88.72	91.29	166.49	154.17	115.68	124.66	85.52
176.27	88.37	91.64	165.59	149.64	118.50	122.79	83.93
174.62	86.22	93.80	166.91	151.83	119.22	122.46	84.96
175.50	85.76	94.26	170.11	159.84	118.83	125.93	84.73
175.08	85.22	94.79	170.11	178.87	116.61	132.05	82.85
174.57	85.28	94.73	167.94	174.06	114.97	134.18	81.57
173.94	84.82	95.19	164.43	173.45	113.46	135.22	83.20
174.80	85.66	94.35	164.95	170.47	111.29	135.62	83.17
175.53	85.95	94.06	166.08	168.95	114.86	136.06	81.19
175.91	85.99	94.02	165.68	170.10	113.82	136.73	81.54
175.36	85.36	94.65	166.28	174.84	113.93	135.12	81.24
170.49	80.59	99.43	167.91	174.80	114.52	134.39	78.93
171.94	82.43	97.58	166.46	171.27	113.89	134.16	80.43
172.82	83.67	96.34	166.88	168.69	112.75	133.74	81.04
172.85	84.35	95.67	166.52	167.08	112.54	135.98	79.82
172.99	83.98	96.03	162.79	166.86	110.79	134.64	80.49
174.70	85.33	94.69	165.18	168.82	111.70	139.08	80.02
175.77	86.89	93.12	166.21	166.28	112.39	140.65	79.62
175.40	87.74	92.28	172.70	166.42	116.34	140.67	79.53
174.66	86.92	93.09	171.05	166.80	114.83	141.01	79.15
174.96	88.05	91.96	171.70	168.39	114.89	140.97	77.77
172.00	86.46	93.56	169.98	170.03	114.62	140.31	76.96
169.70	88.30	91.72	163.46	167.81	108.87	138.08	76.46
167.82	90.10	89.91	168.81	164.65	109.15	135.30	75.02
166.95	90.29	89.72	176.92	164.38	111.31	137.35	74.62
168.02	90.68	89.34	173.76	164.97	110.88	136.31	74.69
171.73	90.71	89.30	161.53	166.26	110.86	132.87	75.39
172.96	89.48	90.54	156.91	167.47	109.58	131.52	75.73
173.76	88.70	91.31	154.77	168.70	108.86	130.80	75.14
171.03	88.74	91.28	169.83	170.11	108.73	134.27	75.52
173.30	88.26	91.75	170.92	171.70	107.17	134.38	78.05
168.17	89.15	90.86	169.78	160.03	108.07	129.18	77.08
168.73	86.93	93.08	168.17	159.88	105.75	131.27	77.31
169.06	85.18	94.83	167.47	156.01	108.93	133.05	77.90
171.37	85.48	94.53	167.06	165.55	114.09	132.96	78.31
173.52	86.37	93.64	166.85	171.48	113.77	138.91	79.41
174.69	88.08	91.93	164.23	173.08	115.41	136.95	80.51
174.05	89.04	90.97	162.76	170.80	117.45	138.72	81.39
174.00	89.66	90.36	161.08	169.92	121.91	140.16	81.61
170.34	89.32	90.69	155.60	146.17	128.26	137.81	80.26
169.05	88.47	91.55	150.14	112.44	129.38	140.29	79.82
167.40	87.62	92.39	149.11	144.00	136.19	141.58	79.58
167.30	87.51	92.50	148.69	150.11	135.16	144.31	78.95
166.75	87.21	92.80	148.21	153.72	138.67	146.01	79.13
165.70	86.66	93.35	147.80	161.56	142.21	146.88	78.40
166.70	86.03	93.99	145.73	166.31	141.63	149.40	77.98
169.61	88.04	91.97	145.09	166.31	141.73	146.14	78.74
165.84	88.68	91.33	138.97	164.69	143.31	144.79	78.14
165.58	88.53	91.48	135.95	166.57	141.87	146.48	77.54
166.43	88.17	91.84	133.52	168.08	140.09	148.97	77.78
168.53	86.95	93.06	136.13	167.51	131.63	148.05	77.79
172.77	90.15	89.86	138.87	169.23	130.84	136.42	80.51
175.85	92.16	87.86	144.33	173.02	120.93	132.78	82.14
176.06	93.34	86.67	147.80	171.40	115.29	133.11	81.88
172.78	95.15	84.86	149.37	178.05	114.67	128.59	80.39
175.73	93.75	86.26	153.36	163.75	112.54	132.57	78.60
174.79	91.68	88.33	149.94	166.95	100.85	128.13	77.97
172.27	88.83	91.18	150.22	170.47	104.91	125.23	77.89
173.22	89.46	90.56	152.76	170.18	98.37	126.36	79.22
170.18	88.03	91.98	152.28	171.16	103.47	124.62	79.87
171.48	90.20	89.81	153.77	172.52	100.62	127.69	79.77
173.88	90.60	89.41	157.77	174.16	102.21	126.18	79.96
173.09	92.29	87.73	160.96	170.72	101.25	126.72	80.60
177.01	89.89	90.12	162.01	173.79	100.57	134.40	82.43
177.25	87.55	92.46	163.14	170.73	99.25	136.85	81.62
176.55	86.61	93.40	160.82	168.34	97.65	140.12	81.51
176.03	86.16	93.86	158.18	169.96	109.73	143.48	82.28
176.03	86.55	93.46	159.51	167.88	107.74	146.18	82.39
174.73	86.46	93.55	161.02	164.13	114.55	142.81	82.96
174.95	86.46	93.55	162.11	163.12	114.41	142.47	82.48
172.82	83.42	96.59	160.63	171.79	122.86	138.22	80.56
174.93	86.95	93.07	165.41	177.15	116.64	137.95	80.13
175.53	88.11	91.91	166.97	176.25	108.71	137.10	80.46
176.60	89.93	90.08	167.66	166.13	108.37	134.60	82.45
176.40	91.78	88.23	164.15	162.45	113.54	130.02	80.39
173.96	93.97	86.04	159.72	163.16	121.63	126.66	78.24
174.02	93.64	86.37	161.24	166.72	119.89	128.70	77.93
172.43	92.19	87.83	165.53	166.04	118.08	129.27	77.57
170.20	88.35	91.66	162.92	156.06	120.36	116.70	77.01
169.75	86.10	93.91	162.99	160.86	118.26	112.66	76.39
169.01	84.12	95.89	162.95	162.92	118.06	106.02	75.49
170.63	87.80	92.22	164.78	156.15	117.68	108.75	74.99
173.04	90.49	89.53	164.41	157.13	118.95	109.86	75.92
178.06	90.25	89.76	159.88	161.44	117.55	112.22	76.57
178.23	88.45	91.56	158.70	162.52	114.34	105.50	76.10
177.98	89.26	90.75	165.98	163.14	112.12	106.10	75.52
173.76	90.12	89.89	170.00	166.13	109.03	107.85	75.37
172.24	91.15	88.86	169.41	172.13	110.28	108.95	76.08
171.82	91.72	88.30	168.90	174.03	110.68	109.37	77.10
171.27	91.05	88.96	168.26	175.04	110.92	109.62	77.24
