x: 245.85, y: 118.07, z: 1920.39 
x: 245.81, y: 107.26, z: 1907.19 
x: 260.08, y: 99.80, z: 1913.00 
x: 249.66, y: 97.42, z: 1920.78 
x: 252.92, y: 105.70, z: 1922.70 
x: 255.03, y: 111.46, z: 1927.08 
x: 251.19, y: 142.96, z: 2080.37 
x: 247.08, y: 129.03, z: 2086.94 
x: 250.08, y: 96.17, z: 2110.65 
x: 267.74, y: 86.21, z: 2121.98 
x: 266.79, y: 91.75, z: 2126.46 
x: 271.70, y: 110.44, z: 2122.84 
x: 274.14, y: 100.86, z: 2116.97 
x: 276.62, y: 109.52, z: 2105.79 
x: 278.54, y: 108.85, z: 2102.22 
x: 280.83, y: 136.09, z: 2097.27 
x: 281.98, y: 132.44, z: 2095.65 
x: 267.90, y: 107.52, z: 2125.49 
x: 277.57, y: 89.73, z: 2104.64 
x: 281.31, y: 86.53, z: 2095.43 
x: 293.90, y: 97.04, z: 2099.83 
x: 268.91, y: 84.93, z: 2100.28 
x: 291.55, y: 86.65, z: 2082.23 
x: 294.50, y: 71.51, z: 2087.60 
x: 295.72, y: 93.16, z: 2094.53 
x: 305.59, y: 122.52, z: 2104.31 
x: 311.35, y: 101.12, z: 2105.22 
x: 310.99, y: 97.93, z: 2104.43 
x: 314.27, y: 92.98, z: 2103.55 
x: 311.57, y: 102.21, z: 2108.19 
x: 317.02, y: 108.76, z: 2096.65 
x: 258.68, y: 98.77, z: 2042.11 
x: 231.21, y: 118.57, z: 2013.44 
x: 126.29, y: 109.64, z: 1921.30 
x: 64.44, y: 188.79, z: 1754.50 
x: 69.54, y: 181.54, z: 1633.98 
x: 113.88, y: 106.52, z: 1492.13 
x: 120.82, y: 34.51, z: 1398.14 
x: 98.07, y: -37.54, z: 1377.86 
x: 84.13, y: -56.38, z: 1364.28 
x: 78.09, y: -68.27, z: 1349.02 
x: 79.84, y: -70.49, z: 1364.48 
x: 83.92, y: -89.06, z: 1349.74 
x: 76.06, y: -87.96, z: 1324.14 
x: 77.76, y: -94.75, z: 1353.32 
x: 73.63, y: -92.89, z: 1338.31 
x: 73.30, y: -93.10, z: 1346.15 
x: 73.58, y: -91.84, z: 1352.75 
x: 56.58, y: 35.20, z: 1374.66 
x: 26.37, y: 107.71, z: 1358.65 
x: 12.33, y: 78.11, z: 1373.07 
x: 8.57, y: 86.42, z: 1371.25 
x: 9.51, y: 64.54, z: 1430.20 
x: 30.78, y: 27.46, z: 1415.74 
x: -23.16, y: -21.29, z: 1362.68 
x: -101.50, y: 13.66, z: 1292.70 
x: -102.23, y: 71.84, z: 1207.46 
x: -108.09, y: 50.35, z: 1152.53 
x: -90.68, y: 23.82, z: 753.07 
x: -133.82, y: 15.00, z: 774.19 
x: -80.70, y: 110.25, z: 691.74 
x: -236.62, y: 15.58, z: 540.64 
x: -236.62, y: 15.58, z: 540.64 
x: -236.62, y: 15.58, z: 540.64 
