x: 215.36, y: 582.00, z: 2019.41 
x: 224.32, y: 583.26, z: 2019.52 
x: 223.07, y: 579.16, z: 2027.31 
x: 220.72, y: 568.12, z: 2021.59 
x: 228.85, y: 579.40, z: 2047.35 
x: 222.15, y: 577.10, z: 2067.10 
x: 174.74, y: 592.66, z: 2162.25 
x: 176.03, y: 591.16, z: 2189.72 
x: 202.41, y: 549.44, z: 2258.20 
x: 202.37, y: 552.46, z: 2257.20 
x: 201.53, y: 558.14, z: 2248.12 
x: 218.59, y: 559.36, z: 2229.11 
x: 234.71, y: 553.03, z: 2213.15 
x: 232.29, y: 556.65, z: 2213.45 
x: 233.49, y: 558.41, z: 2215.30 
x: 235.66, y: 561.74, z: 2227.20 
x: 228.88, y: 567.46, z: 2221.44 
x: 229.22, y: 545.43, z: 2250.25 
x: 231.00, y: 549.43, z: 2243.23 
x: 232.45, y: 552.31, z: 2236.39 
x: 242.65, y: 557.14, z: 2238.33 
x: 243.49, y: 558.35, z: 2237.17 
x: 247.48, y: 560.91, z: 2230.01 
x: 259.93, y: 527.31, z: 2238.53 
x: 256.60, y: 541.74, z: 2230.61 
x: 246.02, y: 561.70, z: 2216.73 
x: 248.50, y: 558.33, z: 2216.09 
x: 250.93, y: 555.97, z: 2216.92 
x: 252.41, y: 558.88, z: 2216.02 
x: 253.46, y: 562.67, z: 2212.98 
x: 252.49, y: 563.80, z: 2211.32 
x: 227.81, y: 565.22, z: 2185.39 
x: 146.97, y: 589.06, z: 2067.02 
x: 50.67, y: 542.21, z: 1975.17 
x: -43.54, y: 610.33, z: 1789.98 
x: -34.25, y: 612.43, z: 1678.87 
x: 39.87, y: 543.99, z: 1518.38 
x: 49.89, y: 452.58, z: 1374.31 
x: -3.57, y: 352.77, z: 1338.76 
x: -7.13, y: 347.76, z: 1335.25 
x: -10.65, y: 331.14, z: 1318.23 
x: -16.54, y: 326.32, z: 1301.95 
x: -14.83, y: 321.04, z: 1305.19 
x: -13.28, y: 316.88, z: 1306.88 
x: -12.76, y: 314.01, z: 1309.25 
x: -16.52, y: 308.33, z: 1316.77 
x: -16.62, y: 310.55, z: 1321.21 
x: -16.46, y: 314.37, z: 1323.47 
x: -31.38, y: 457.94, z: 1344.23 
x: -60.53, y: 374.32, z: 1346.81 
x: -70.73, y: 442.26, z: 1327.02 
x: -72.01, y: 470.78, z: 1312.07 
x: -77.22, y: 469.11, z: 1332.26 
x: -59.90, y: 485.71, z: 1289.90 
x: -91.66, y: 449.98, z: 1303.23 
x: -133.20, y: 432.31, z: 1312.09 
x: -152.02, y: 514.12, z: 1116.53 
x: -169.89, y: 456.45, z: 1104.80 
x: -215.63, y: 404.80, z: 963.17 
x: -77.62, y: 384.56, z: 863.81 
x: -90.89, y: 394.01, z: 837.81 
x: -115.96, y: 391.69, z: 800.23 
x: -115.96, y: 391.69, z: 800.23 
x: -115.96, y: 391.69, z: 800.23 
