x: 231.13, y: -713.84, z: 2006.80 
x: 231.30, y: -721.19, z: 2011.88 
x: 228.06, y: -730.36, z: 2006.06 
x: 229.21, y: -723.01, z: 2014.56 
x: 194.40, y: -662.93, z: 1938.98 
x: 194.55, y: -694.32, z: 1911.97 
x: 200.30, y: -731.50, z: 1931.45 
x: 209.29, y: -766.25, z: 1973.35 
x: 218.74, y: -770.90, z: 1979.40 
x: 183.25, y: -741.73, z: 2209.05 
x: 221.90, y: -787.71, z: 2086.67 
x: 234.13, y: -740.41, z: 2097.43 
x: 260.87, y: -743.86, z: 2067.22 
x: 278.23, y: -793.62, z: 2180.36 
x: 277.22, y: -767.83, z: 2123.24 
x: 280.23, y: -746.67, z: 2125.95 
x: 280.84, y: -755.02, z: 2131.22 
x: 273.39, y: -739.66, z: 2144.84 
x: 249.13, y: -715.13, z: 2112.33 
x: 201.05, y: -701.17, z: 2003.40 
x: 236.34, y: -768.82, z: 2068.96 
x: 240.04, y: -761.78, z: 2101.98 
x: 250.45, y: -765.31, z: 2134.01 
x: 248.77, y: -742.40, z: 2022.50 
x: 258.13, y: -726.34, z: 2080.20 
x: 248.77, y: -744.12, z: 2053.34 
x: 256.96, y: -758.89, z: 2076.73 
x: 261.43, y: -760.51, z: 2068.32 
x: 258.93, y: -753.73, z: 2065.26 
x: 266.44, y: -736.89, z: 2077.97 
x: 261.30, y: -748.20, z: 2189.50 
x: 239.17, y: -711.77, z: 2137.62 
x: 217.70, y: -740.73, z: 2096.35 
x: 205.04, y: -780.89, z: 2053.56 
x: 88.96, y: -668.97, z: 1689.52 
x: 161.47, y: -656.60, z: 1473.36 
x: 156.78, y: -660.86, z: 1484.31 
x: 134.68, y: -652.09, z: 1517.10 
x: 127.05, y: -840.78, z: 1490.68 
x: 115.00, y: -708.33, z: 1472.06 
x: 119.28, y: -871.51, z: 1486.03 
x: 117.84, y: -877.34, z: 1472.73 
x: 114.36, y: -897.95, z: 1464.21 
x: 122.32, y: -890.63, z: 1478.94 
x: 105.41, y: -905.49, z: 1445.95 
x: 101.68, y: -789.51, z: 1458.31 
x: 101.69, y: -899.62, z: 1463.01 
x: 92.70, y: -799.15, z: 1471.23 
x: 80.90, y: -797.22, z: 1494.29 
x: 96.34, y: -828.43, z: 1452.15 
x: 77.07, y: -797.19, z: 1469.00 
x: 77.32, y: -754.72, z: 1447.82 
x: 93.50, y: -761.50, z: 1452.83 
x: 119.43, y: -806.28, z: 1449.76 
x: 76.66, y: -737.04, z: 1454.37 
x: 78.37, y: -749.26, z: 1474.92 
x: 44.19, y: -710.09, z: 1399.76 
x: 35.81, y: -664.50, z: 1300.23 
x: 21.42, y: -515.51, z: 1145.07 
x: 58.42, y: -651.41, z: 1197.97 
x: 38.49, y: -621.24, z: 1015.44 
x: 12.01, y: -581.78, z: 1044.12 
x: 12.01, y: -581.78, z: 1044.12 
x: 12.01, y: -581.78, z: 1044.12 
