x: 200.24, y: 789.90, z: 1831.00 
x: 205.40, y: 798.14, z: 1849.87 
x: 239.18, y: 809.08, z: 1999.66 
x: 207.16, y: 788.36, z: 1919.61 
x: 211.88, y: 796.76, z: 1938.49 
x: 174.96, y: 882.66, z: 1975.73 
x: 199.09, y: 825.41, z: 2153.92 
x: 190.91, y: 838.99, z: 2174.33 
x: 168.00, y: 812.40, z: 2218.25 
x: 167.03, y: 801.43, z: 2233.33 
x: 204.07, y: 828.04, z: 2213.09 
x: 219.58, y: 821.65, z: 2179.38 
x: 242.92, y: 820.27, z: 2177.64 
x: 242.92, y: 824.36, z: 2180.09 
x: 220.48, y: 814.23, z: 2187.59 
x: 192.81, y: 819.35, z: 2200.44 
x: 171.16, y: 820.19, z: 2205.42 
x: 166.18, y: 814.27, z: 2210.38 
x: 182.10, y: 812.02, z: 2206.87 
x: 185.92, y: 808.99, z: 2208.12 
x: 202.97, y: 825.03, z: 2180.66 
x: 210.40, y: 815.27, z: 2187.66 
x: 208.45, y: 808.65, z: 2198.33 
x: 213.11, y: 804.01, z: 2203.54 
x: 211.92, y: 834.76, z: 2161.19 
x: 212.52, y: 818.97, z: 2177.80 
x: 211.55, y: 812.99, z: 2185.73 
x: 208.65, y: 808.83, z: 2189.44 
x: 203.59, y: 809.13, z: 2186.81 
x: 220.67, y: 831.91, z: 2155.79 
x: 214.37, y: 819.25, z: 2167.49 
x: 186.61, y: 658.57, z: 1918.35 
x: 126.05, y: 845.27, z: 2036.29 
x: 102.66, y: 821.47, z: 1918.71 
x: 88.49, y: 833.32, z: 1890.61 
x: 75.04, y: 840.50, z: 1856.74 
x: 70.88, y: 836.97, z: 1806.35 
x: 64.34, y: 819.63, z: 1741.42 
x: 58.10, y: 793.03, z: 1676.26 
x: 50.85, y: 764.37, z: 1624.52 
x: 45.15, y: 739.06, z: 1579.97 
x: 37.50, y: 718.01, z: 1534.76 
x: 31.40, y: 698.18, z: 1495.76 
x: 27.37, y: 680.88, z: 1464.23 
x: 22.98, y: 665.05, z: 1434.95 
x: 19.67, y: 651.18, z: 1411.16 
x: 16.11, y: 639.06, z: 1388.56 
x: 15.77, y: 633.29, z: 1368.68 
x: 16.35, y: 640.77, z: 1359.92 
x: 8.35, y: 645.17, z: 1350.47 
x: 2.68, y: 654.59, z: 1338.89 
x: 1.74, y: 670.15, z: 1323.68 
