x: 196.78, y: 350.14, z: 1991.79 
x: 194.97, y: 346.96, z: 1987.89 
x: 200.75, y: 340.05, z: 1992.32 
x: 197.07, y: 334.08, z: 1990.18 
x: 202.33, y: 343.34, z: 2004.62 
x: 198.74, y: 344.25, z: 2015.20 
x: 178.11, y: 365.57, z: 2136.46 
x: 172.25, y: 357.93, z: 2161.62 
x: 185.15, y: 322.05, z: 2199.43 
x: 189.41, y: 318.24, z: 2206.23 
x: 190.47, y: 323.61, z: 2206.37 
x: 205.83, y: 334.36, z: 2193.47 
x: 214.14, y: 328.16, z: 2184.35 
x: 215.99, y: 333.09, z: 2176.70 
x: 218.86, y: 333.02, z: 2176.17 
x: 222.91, y: 347.33, z: 2178.40 
x: 221.81, y: 347.42, z: 2176.05 
x: 217.94, y: 325.03, z: 2201.49 
x: 220.37, y: 317.28, z: 2191.06 
x: 220.51, y: 317.11, z: 2184.95 
x: 229.18, y: 325.09, z: 2189.27 
x: 223.62, y: 320.57, z: 2186.50 
x: 230.85, y: 321.25, z: 2182.25 
x: 239.43, y: 297.89, z: 2183.47 
x: 239.61, y: 315.98, z: 2182.32 
x: 237.25, y: 340.28, z: 2181.84 
x: 240.17, y: 328.12, z: 2180.10 
x: 240.79, y: 325.62, z: 2180.05 
x: 241.76, y: 324.76, z: 2179.28 
x: 241.66, y: 331.78, z: 2179.45 
x: 242.88, y: 334.71, z: 2174.89 
x: 208.04, y: 330.65, z: 2133.10 
x: 151.64, y: 352.52, z: 2060.54 
x: 44.78, y: 326.34, z: 1958.15 
x: -34.61, y: 397.30, z: 1780.60 
x: -28.80, y: 395.24, z: 1666.88 
x: 37.88, y: 325.41, z: 1512.51 
x: 44.29, y: 244.69, z: 1386.93 
x: 6.17, y: 156.12, z: 1362.73 
x: 0.07, y: 144.99, z: 1356.17 
x: -4.52, y: 131.42, z: 1342.95 
x: -8.03, y: 127.23, z: 1338.69 
x: -7.14, y: 115.64, z: 1335.62 
x: -8.87, y: 114.70, z: 1326.85 
x: -5.57, y: 109.21, z: 1337.84 
x: -9.31, y: 107.21, z: 1336.25 
x: -9.90, y: 108.23, z: 1341.43 
x: -10.18, y: 110.90, z: 1345.72 
x: -24.99, y: 245.44, z: 1359.48 
x: -53.16, y: 241.28, z: 1367.36 
x: -65.03, y: 260.25, z: 1357.20 
x: -61.72, y: 279.98, z: 1354.99 
x: -64.78, y: 271.37, z: 1400.14 
x: -56.99, y: 256.10, z: 1353.00 
x: -90.58, y: 215.41, z: 1340.58 
x: -148.06, y: 225.68, z: 1318.35 
x: -155.16, y: 300.30, z: 1183.91 
x: -170.76, y: 257.39, z: 1146.87 
x: -195.61, y: 198.73, z: 930.61 
x: -132.14, y: 206.51, z: 857.51 
x: -121.81, y: 253.94, z: 779.51 
x: -257.39, y: 261.21, z: 719.41 
x: -257.39, y: 261.21, z: 719.41 
x: -257.39, y: 261.21, z: 719.41 
