x: 340.67, y: 581.61, z: 1938.32 
x: 350.49, y: 577.93, z: 1942.32 
x: 358.69, y: 577.27, z: 1953.69 
x: 358.93, y: 563.40, z: 1952.73 
x: 369.06, y: 576.56, z: 1976.08 
x: 355.39, y: 577.20, z: 2006.54 
x: 314.23, y: 601.61, z: 2101.60 
x: 306.24, y: 598.35, z: 2112.58 
x: 359.17, y: 552.33, z: 2200.98 
x: 356.61, y: 556.16, z: 2200.98 
x: 349.85, y: 562.68, z: 2183.34 
x: 369.75, y: 561.44, z: 2161.84 
x: 375.19, y: 548.79, z: 2145.86 
x: 374.81, y: 556.66, z: 2150.17 
x: 373.60, y: 560.72, z: 2149.65 
x: 377.57, y: 568.09, z: 2162.24 
x: 361.42, y: 577.42, z: 2152.46 
x: 376.70, y: 552.40, z: 2184.63 
x: 373.47, y: 559.07, z: 2171.29 
x: 371.75, y: 561.18, z: 2163.50 
x: 377.06, y: 564.01, z: 2168.92 
x: 381.62, y: 562.87, z: 2161.77 
x: 378.96, y: 569.49, z: 2141.14 
x: 402.72, y: 533.06, z: 2161.41 
x: 397.84, y: 547.43, z: 2154.29 
x: 384.93, y: 568.30, z: 2139.91 
x: 387.71, y: 563.94, z: 2148.00 
x: 391.11, y: 560.62, z: 2149.32 
x: 391.23, y: 562.77, z: 2150.94 
x: 391.41, y: 564.87, z: 2149.27 
x: 390.17, y: 568.94, z: 2142.63 
x: 368.46, y: 570.60, z: 2108.07 
x: 279.74, y: 593.66, z: 1995.02 
x: 200.89, y: 540.80, z: 1941.09 
x: 112.20, y: 618.13, z: 1761.06 
x: 125.60, y: 618.43, z: 1642.89 
x: 187.27, y: 543.38, z: 1490.94 
x: 193.01, y: 448.57, z: 1371.85 
x: 137.63, y: 357.91, z: 1323.58 
x: 130.80, y: 350.29, z: 1312.26 
x: 125.64, y: 331.21, z: 1284.99 
x: 122.38, y: 328.72, z: 1282.79 
x: 123.50, y: 322.21, z: 1278.12 
x: 121.84, y: 316.07, z: 1268.84 
x: 125.75, y: 315.55, z: 1285.40 
x: 123.57, y: 310.23, z: 1284.54 
x: 124.14, y: 312.37, z: 1292.67 
x: 125.25, y: 315.70, z: 1295.63 
x: 108.09, y: 462.12, z: 1344.11 
x: 94.51, y: 373.20, z: 1283.94 
x: 61.17, y: 442.02, z: 1300.67 
x: 58.10, y: 464.80, z: 1254.28 
x: 47.73, y: 450.75, z: 1255.89 
x: 99.98, y: 487.55, z: 1289.23 
x: 38.18, y: 445.83, z: 1273.36 
x: -17.45, y: 422.16, z: 1251.95 
x: -31.72, y: 482.72, z: 1022.48 
x: -24.53, y: 438.22, z: 1021.53 
x: -91.83, y: 450.23, z: 751.82 
x: 101.80, y: 338.88, z: 602.32 
x: 185.02, y: 380.08, z: 724.93 
x: 62.80, y: 264.79, z: 692.28 
x: 62.80, y: 264.79, z: 692.28 
x: 62.80, y: 264.79, z: 692.28 
