x: 241.09, y: -338.53, z: 1894.83 
x: 242.31, y: -333.91, z: 1899.52 
x: 238.16, y: -342.84, z: 1892.14 
x: 239.33, y: -335.11, z: 1898.69 
x: 241.70, y: -304.78, z: 1870.83 
x: 239.21, y: -315.87, z: 1886.20 
x: 228.82, y: -317.52, z: 1904.43 
x: 216.34, y: -321.11, z: 1951.18 
x: 226.91, y: -330.11, z: 1946.96 
x: 240.31, y: -362.36, z: 2085.04 
x: 255.64, y: -371.34, z: 2104.01 
x: 273.80, y: -338.77, z: 2087.84 
x: 276.20, y: -348.84, z: 2077.85 
x: 278.36, y: -339.69, z: 2066.63 
x: 280.22, y: -335.14, z: 2065.33 
x: 276.44, y: -328.01, z: 2052.20 
x: 283.54, y: -333.95, z: 2079.04 
x: 280.71, y: -321.70, z: 2062.02 
x: 271.03, y: -329.52, z: 2065.54 
x: 273.64, y: -331.40, z: 2070.56 
x: 272.63, y: -346.99, z: 2065.96 
x: 272.24, y: -345.21, z: 2073.96 
x: 280.26, y: -344.30, z: 2092.99 
x: 272.98, y: -345.34, z: 2038.72 
x: 279.90, y: -316.97, z: 2050.02 
x: 276.78, y: -323.04, z: 2035.84 
x: 272.78, y: -346.74, z: 2044.38 
x: 274.44, y: -344.85, z: 2050.11 
x: 279.45, y: -339.47, z: 2051.33 
x: 280.72, y: -335.94, z: 2047.00 
x: 282.48, y: -332.73, z: 2045.92 
x: 261.57, y: -326.76, z: 2048.25 
x: 239.28, y: -329.15, z: 2013.14 
x: 136.91, y: -359.15, z: 1891.17 
x: 92.93, y: -231.59, z: 1608.08 
x: 112.36, y: -202.54, z: 1446.39 
x: 137.58, y: -222.88, z: 1230.05 
x: 139.09, y: -354.70, z: 1409.44 
x: 141.49, y: -453.28, z: 1384.72 
x: 126.49, y: -392.38, z: 1389.84 
x: 129.39, y: -480.48, z: 1394.26 
x: 122.16, y: -485.79, z: 1382.78 
x: 122.89, y: -503.07, z: 1390.60 
x: 117.24, y: -497.37, z: 1396.85 
x: 106.25, y: -511.37, z: 1367.88 
x: 97.91, y: -433.25, z: 1365.47 
x: 98.86, y: -509.68, z: 1366.24 
x: 91.01, y: -444.89, z: 1359.66 
x: 91.73, y: -435.18, z: 1382.11 
x: 82.91, y: -459.72, z: 1359.29 
x: 73.77, y: -436.14, z: 1372.58 
x: 87.83, y: -297.06, z: 1281.06 
x: 94.85, y: -305.37, z: 1312.37 
x: 107.54, y: -350.88, z: 1314.60 
x: -22.61, y: -418.34, z: 1324.43 
x: -28.71, y: -395.85, z: 1319.24 
x: -52.52, y: -170.84, z: 890.28 
x: -122.50, y: -361.61, z: 1090.97 
x: -101.05, y: -231.50, z: 965.20 
x: -63.00, y: -319.19, z: 1011.39 
x: -71.00, y: -275.38, z: 847.19 
x: -54.22, y: -275.93, z: 952.54 
x: -54.22, y: -275.93, z: 952.54 
x: -54.22, y: -275.93, z: 952.54 
